City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,stanley,54.868,-1.6985,18.77,64,40,11.83,GB,1689515651
125,talnakh,69.4865,88.3972,7.34,90,100,3.05,RU,1689515649
126,enewetak,11.3474,162.3373,28.0,81,99,5.44,MH,1689515652
127,crane,31.3974,-102.3501,27.88,48,15,7.06,US,1689515652
128,laguna,38.421,-121.4238,27.02,71,0,0.0,US,1689515653
129,paracuru,-3.41,-39.0306,28.39,58,34,6.91,BR,1689515653
130,ocean shores,46.9737,-124.1563,14.42,97,100,2.57,US,1689515653
131,vorgashor,67.5833,63.95,18.87,63,96,2.65,RU,1689515653
132,suez,29.9737,32.5263,41.31,12,0,5.61,EG,1689515654
133,khandud,36.9513,72.318,20.05,50,95,2.42,AF,1689515654
134,lorengau,-2.0226,147.2712,27.76,77,68,4.33,PG,1689515654
135,nar'yan-mar,67.6713,53.087,23.27,55,51,3.54,RU,1689515654
136,ancud,-41.8697,-73.8203,3.96,81,6,3.84,CL,1689515655
137,cherdakly,54.3594,48.845,17.97,82,75,6.0,RU,1689515655
138,tokar,18.4254,37.729,43.59,18,5,8.91,SD,1689515655
139,invercargill,-46.4,168.35,7.51,85,79,5.3,NZ,1689515272
140,orito,0.6766,-76.8771,25.15,70,86,0.54,CO,1689515656
141,newman,37.3138,-121.0208,23.49,31,100,1.12,US,1689515656
142,walvis bay,-22.9575,14.5053,21.72,33,0,5.81,NA,1689515657
143,rabo de peixe,37.8,-25.5833,22.73,60,20,4.63,PT,1689515657
144,punta arenas,-53.15,-70.9167,2.06,87,40,4.12,CL,1689515190
145,al hufuf,25.3646,49.5653,46.19,9,0,7.2,SA,1689515658
146,key west,24.5557,-81.7826,32.22,70,20,3.09,US,1689515658
147,calabar,4.9517,8.322,28.34,78,79,2.32,NG,1689515658
148,qamdo,31.1667,97.2333,8.32,79,98,1.85,CN,1689515658
149,nynashamn,58.9034,17.9479,21.2,72,53,6.27,SE,1689515659
150,kasongo-lunda,-6.4667,16.8167,37.02,16,10,2.12,CD,1689515659
151,north bay,46.3168,-79.4663,21.01,88,75,1.54,CA,1689515660
152,happy valley-goose bay,53.3168,-60.3315,23.17,68,75,6.69,CA,1689515660
153,codrington,-38.2667,141.9667,6.91,90,38,4.5,AU,1689515660
154,urzhar,47.093,81.6294,28.18,18,0,3.67,KZ,1689515660
155,west island,-12.1568,96.8225,25.99,69,75,8.23,CC,1689515661
156,vorkuta,67.5,64.0,19.94,61,94,3.67,RU,1689515661
157,shenjiamen,29.9576,122.298,26.28,94,99,6.84,CN,1689515661
158,carnarvon,-24.8667,113.6333,17.67,54,0,5.24,AU,1689515662
159,saipan,15.1355,145.701,28.39,100,20,4.63,MP,1689515663
160,al muwayh,22.4333,41.7583,41.9,6,10,2.21,SA,1689515663
161,vitebsk,55.1905,30.2033,27.36,29,0,2.0,BY,1689515664
162,nova sintra,14.8667,-24.7167,22.8,83,100,3.32,CV,1689515664
163,lompoc,34.6391,-120.4579,14.08,100,100,0.0,US,1689515664
164,taltal,-25.4,-70.4833,18.94,55,82,2.06,CL,1689515665
165,bowen,-20.0167,148.2333,19.78,78,2,7.03,AU,1689515665
166,mersa matruh,31.3525,27.2453,30.11,66,0,6.17,EG,1689515665
167,trimbak,19.9333,73.55,21.08,92,100,3.89,IN,1689515665
168,sorong,-0.8833,131.25,25.53,88,100,4.18,ID,1689515665
169,palmer,42.1584,-72.3287,24.79,85,100,4.12,US,1689515666
170,nenjiang,49.1833,125.2167,16.52,76,95,1.66,CN,1689515666
171,filadelfia,39.9523,-75.1638,26.23,91,100,2.57,US,1689515624
